MOTIVOVIAJE,HORA_INICIO,HORA_FIN,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,DIA_HABIL
Recibir atencion en salud,07:00:00,10:00:00,4.60086,4.63720,-74.11907,-74.13682,03:00:00,1
Volver a casa,12:00:00,15:00:00,4.63720,4.60086,-74.13682,-74.11907,03:00:00,1
Recibir atencion en salud,08:00:00,09:30:00,4.59957,4.68745,-74.11962,-74.05898,01:30:00,1
Volver a casa,10:17:00,11:53:00,4.68745,4.59957,-74.05898,-74.11962,01:36:00,1
Recibir atencion en salud,08:00:00,09:36:00,4.59957,4.68713,-74.11962,-74.05641,01:36:00,1
Volver a casa,11:36:00,12:21:00,4.68713,4.59957,-74.05641,-74.11962,00:45:00,1
Recibir atencion en salud,09:32:00,11:35:00,4.59480,4.59140,-74.12421,-74.18125,02:03:00,1
Volver a casa,18:00:00,20:00:00,4.59140,4.59480,-74.18125,-74.12421,02:00:00,1
Trabajar,06:00:00,08:00:00,4.62167,4.75319,-74.12572,-74.04467,02:00:00,1
Volver a casa,13:46:00,15:31:00,4.75319,4.59480,-74.04467,-74.12421,01:45:00,1
Trabajar,05:30:00,07:55:00,4.59838,4.61410,-74.10667,-74.09166,02:25:00,1
Volver a casa,15:32:55,16:12:20,4.61410,4.59480,-74.09166,-74.12421,00:39:25,1
Tramites,09:02:00,10:10:00,4.58280,4.59389,-74.09494,-74.20765,01:08:00,1
Volver a casa,11:26:18,11:41:18,4.59389,4.58280,-74.20765,-74.09494,00:15:00,1
Recibir atencion en salud,07:01:00,08:15:00,4.58233,4.64976,-74.09896,-74.10088,01:14:00,1
Volver a casa,18:00:00,19:25:00,4.64976,4.58233,-74.10088,-74.09896,01:25:00,1
Trabajar,08:04:00,09:29:00,4.57919,4.60695,-74.09709,-74.07384,01:25:00,1
Volver a casa,15:46:29,16:02:54,4.60695,4.58233,-74.07384,-74.09896,00:16:25,1
Compras,09:02:00,10:00:00,4.57920,4.58953,-74.09721,-74.09723,00:58:00,1
Volver a casa,10:26:00,11:16:58,4.58953,4.57920,-74.09723,-74.09721,00:50:58,1
Trabajar,09:00:00,10:34:00,4.61884,4.69134,-74.11795,-74.04545,01:34:00,1
Volver a casa,14:02:30,15:36:30,4.69134,4.61884,-74.04545,-74.11795,01:34:00,1
Otra cosa,12:00:00,12:10:00,4.61971,4.59129,-74.11710,-74.11110,00:10:00,1
Volver a casa,14:45:00,14:55:00,4.59129,4.61971,-74.11110,-74.11710,00:10:00,1
Trabajar,04:30:00,06:00:00,4.68695,4.68971,-74.05714,-74.05410,01:30:00,1
Volver a casa,08:00:00,09:00:00,4.68971,4.55850,-74.05410,-74.13439,01:00:00,1
Recibir atencion en salud,08:00:00,09:00:00,4.55850,4.62260,-74.13439,-74.07689,01:00:00,1
Volver a casa,10:21:00,10:50:00,4.62260,4.55850,-74.07689,-74.13439,00:29:00,1
Trabajar,06:00:00,08:00:00,4.55850,4.62752,-74.13439,-74.06839,02:00:00,1
Volver a casa,15:51:00,17:41:00,4.62752,4.55850,-74.06839,-74.13439,01:50:00,1
Estudiar,04:30:00,06:00:00,4.55850,4.64956,-74.13439,-74.06504,01:30:00,1
Volver a casa,06:21:00,08:11:00,4.64956,4.55850,-74.06504,-74.13439,01:50:00,1
Recibir atencion en salud,06:20:00,07:30:00,4.73890,4.63828,-74.10610,-74.06538,01:10:00,1
Recibir atencion en salud,09:30:00,10:00:00,4.63828,4.72490,-74.06538,-74.05041,00:30:00,1
Volver a casa,13:00:00,15:00:00,4.72490,4.73890,-74.05041,-74.10610,02:00:00,1
Volver a casa,17:00:00,19:00:00,4.68408,4.70772,-74.04014,-74.12483,02:00:00,1
Otra cosa,14:14:00,15:53:00,4.74052,4.66202,-74.10454,-74.06585,01:39:00,1
Volver a casa,18:38:00,20:17:00,4.66202,4.74119,-74.06585,-74.10428,01:39:00,1
Ir a ver a alguien,09:27:00,11:27:00,4.59216,4.70972,-74.17952,-74.04094,02:00:00,1
Volver a casa,23:30:00,00:31:00,4.70972,4.58989,-74.04094,-74.17981,01:01:00,1
Trabajar,17:20:00,17:46:00,4.57492,4.60704,-74.16889,-74.09779,00:26:00,1
Volver a casa,22:00:00,22:26:00,4.60704,4.57492,-74.09779,-74.16889,00:26:00,1
Trabajar,17:20:00,19:04:00,4.57492,4.66777,-74.16889,-74.07341,01:44:00,1
Volver a casa,22:00:00,23:44:00,4.66777,4.57492,-74.07341,-74.16889,01:44:00,1
Trabajar,17:20:00,19:13:00,4.57492,4.68971,-74.16889,-74.05410,01:53:00,1
Volver a casa,22:00:00,23:53:00,4.68971,4.57492,-74.05410,-74.16889,01:53:00,1
Trabajar,17:30:00,19:20:00,4.61889,4.59436,-74.18825,-74.13527,01:50:00,1
Volver a casa,22:15:00,00:05:00,4.59436,4.61889,-74.13527,-74.18825,01:50:00,1
Estudiar,06:00:00,06:31:00,4.67614,4.65055,-74.07725,-74.06160,00:31:00,1
Volver a casa,13:00:00,13:30:00,4.65055,4.61889,-74.06160,-74.18825,00:30:00,1
Trabajar,12:20:00,12:46:00,4.68597,4.60887,-74.06161,-74.07622,00:26:00,1
Volver a casa,21:50:00,22:16:00,4.60887,4.68597,-74.07622,-74.06161,00:26:00,1
Volver a casa,17:00:00,19:00:00,4.68259,4.70813,-74.04341,-74.12268,02:00:00,1
Estudiar,05:00:00,05:50:00,4.58033,4.62787,-74.09378,-74.06361,00:50:00,1
Volver a casa,17:00:00,17:50:00,4.62787,4.58033,-74.06361,-74.09378,00:50:00,1
Estudiar,06:30:00,08:00:00,4.56392,4.62293,-74.14491,-74.07231,01:30:00,1
Volver a casa,11:00:00,13:00:00,4.62293,4.55969,-74.07231,-74.14217,02:00:00,1
Estudiar,07:30:00,08:30:00,4.58280,4.60803,-74.10001,-74.07065,01:00:00,1
Volver a casa,17:30:00,18:30:00,4.60803,4.58280,-74.07065,-74.10001,01:00:00,1
Trabajar,07:31:00,08:56:00,4.63256,4.74411,-74.06779,-74.09302,01:25:00,1
Volver a casa,19:20:00,20:47:00,4.74411,4.74281,-74.09302,-74.10785,01:27:00,1
Otra cosa,17:30:00,18:15:00,4.71749,4.69573,-74.10871,-74.08950,00:45:00,1
Volver a casa,22:15:00,23:00:00,4.69573,4.71749,-74.08950,-74.10871,00:45:00,1
Recibir atencion en salud,10:00:00,10:45:00,4.71749,4.68462,-74.10871,-74.07975,00:45:00,1
Volver a casa,13:30:00,14:00:00,4.68462,4.71749,-74.07975,-74.10871,00:30:00,1
Trabajar,08:00:00,09:40:00,4.61987,4.61685,-74.06761,-74.06750,01:40:00,1
Volver a casa,15:52:40,16:32:20,4.61685,4.71749,-74.06750,-74.10871,00:39:40,1
Otra cosa,11:00:00,13:00:00,4.69702,4.68159,-74.11471,-74.12171,02:00:00,1
Otra cosa,11:00:00,13:00:00,4.69702,4.60039,-74.11471,-74.07572,02:00:00,1
Trabajar,05:20:00,07:20:00,4.69741,4.71713,-74.11624,-74.06680,02:00:00,1
Volver a casa,15:40:00,17:00:00,4.71713,4.69741,-74.06680,-74.11624,01:20:00,1
Trabajar,07:30:00,08:30:00,4.61228,4.61240,-74.07058,-74.07066,01:00:00,1
Volver a casa,17:30:00,18:30:00,4.61240,4.70420,-74.07066,-74.05317,01:00:00,1
Volver a casa,17:40:00,18:10:00,4.65799,4.70420,-74.06417,-74.05317,00:30:00,1
Estudiar,09:00:00,09:30:00,4.70286,4.72705,-74.05181,-74.04978,00:30:00,1
Volver a casa,10:07:30,10:16:30,4.72705,4.70286,-74.04978,-74.05181,00:09:00,1
Recibir atencion en salud,09:00:00,09:20:00,4.73237,4.71481,-74.10616,-74.11127,00:20:00,1
Trabajar,18:30:00,20:30:00,4.73360,4.71562,-74.04703,-74.13564,02:00:00,1
Volver a casa,22:40:00,00:40:00,4.71562,4.73109,-74.13564,-74.04568,02:00:00,1
Trabajar,07:00:00,08:30:00,4.59354,4.58511,-74.17526,-74.22093,01:30:00,1
Volver a casa,16:30:00,17:45:00,4.58511,4.59354,-74.22093,-74.17526,01:15:00,1
Estudiar,08:00:00,09:00:00,4.59354,4.58511,-74.17526,-74.22093,01:00:00,1
Volver a casa,18:00:00,19:30:00,4.58511,4.59354,-74.22093,-74.17526,01:30:00,1
Recibir atencion en salud,09:00:00,09:20:00,4.70269,4.68623,-74.05184,-74.06047,00:20:00,1
Trabajar,07:30:00,08:30:00,4.70304,4.61228,-74.05258,-74.07058,01:00:00,1
Volver a casa,17:30:00,18:30:00,4.61228,4.70304,-74.07058,-74.05258,01:00:00,1
Volver a casa,15:00:00,16:00:00,4.63449,4.70304,-74.07932,-74.05258,01:00:00,1
Estudiar,05:50:00,07:00:00,4.70304,4.62787,-74.05258,-74.06361,01:10:00,1
Ir a ver a alguien,17:00:00,18:00:00,4.62787,4.69989,-74.06361,-74.05623,01:00:00,1
Trabajar,07:30:00,08:15:00,4.68888,4.64137,-74.04997,-74.06486,00:45:00,1
Volver a casa,19:00:00,19:30:00,4.64137,4.68909,-74.06486,-74.04994,00:30:00,1
Trabajar,12:27:00,13:28:00,4.63854,4.73474,-74.15859,-74.08546,01:01:00,1
Volver a casa,22:30:00,23:30:00,4.73474,4.67495,-74.08546,-74.07629,01:00:00,1
Otra cosa,12:00:00,12:13:00,4.62262,4.59602,-74.18566,-74.15813,00:13:00,1
Volver a casa,14:45:00,17:45:00,4.59602,4.62262,-74.15813,-74.18566,03:00:00,1
Otra cosa,14:00:00,15:00:00,4.62262,4.59602,-74.18566,-74.15813,01:00:00,1
Volver a casa,18:00:00,19:00:00,4.59602,4.62262,-74.15813,-74.18566,01:00:00,1
Otra cosa,12:00:00,12:13:00,4.62262,4.59615,-74.18566,-74.15884,00:13:00,1
Volver a casa,14:45:00,14:59:00,4.59615,4.62262,-74.15884,-74.18566,00:14:00,1
Otra cosa,12:00:00,12:13:00,4.62262,4.59615,-74.18566,-74.15884,00:13:00,1
Volver a casa,14:45:00,14:59:00,4.59615,4.62262,-74.15884,-74.18566,00:14:00,1
Recibir atencion en salud,15:15:00,16:15:00,4.68676,4.69881,-74.06195,-74.04998,01:00:00,1
Otra cosa,14:00:00,15:00:00,4.68717,4.57771,-74.06161,-74.10194,01:00:00,1
Volver a casa,18:00:00,19:00:00,4.57771,4.68717,-74.10194,-74.06161,01:00:00,1
Otra cosa,12:00:00,12:44:00,4.56808,4.58170,-74.08852,-74.07594,00:44:00,1
Volver a casa,14:45:00,15:34:00,4.58170,4.56808,-74.07594,-74.08852,00:49:00,1
Otra cosa,14:00:00,15:00:00,4.67389,4.58662,-74.08035,-74.08191,01:00:00,1
Volver a casa,18:00:00,19:00:00,4.58662,4.67389,-74.08191,-74.08035,01:00:00,1
Volver a casa,16:00:00,17:00:00,4.75732,4.67302,-74.02511,-74.08090,01:00:00,1
Otra cosa,12:00:00,12:42:00,4.56802,4.58170,-74.08918,-74.07594,00:42:00,1
Volver a casa,14:45:00,15:11:00,4.58170,4.56802,-74.07594,-74.08918,00:26:00,1
Otra cosa,16:30:00,17:30:00,4.69603,4.68358,-74.11886,-74.12560,01:00:00,1
Volver a casa,22:31:00,23:36:00,4.68358,4.69603,-74.12560,-74.11886,01:05:00,1
Recibir atencion en salud,07:50:00,09:20:00,4.69764,4.64044,-74.11918,-74.06639,01:30:00,1
Volver a casa,10:20:00,11:40:00,4.64044,4.69764,-74.06639,-74.11918,01:20:00,1
Estudiar,05:07:00,06:48:00,4.59339,4.64968,-74.17540,-74.06458,01:41:00,1
Volver a casa,17:25:00,18:26:00,4.64968,4.59339,-74.06458,-74.17540,01:01:00,1
Tramites,12:30:00,14:00:00,4.55402,4.66427,-74.13544,-74.06125,01:30:00,1
Volver a casa,16:40:00,18:00:00,4.66427,4.55402,-74.06125,-74.13544,01:20:00,1
Recibir atencion en salud,07:30:00,08:30:00,4.56608,4.62602,-74.14774,-74.06744,01:00:00,1
Volver a casa,10:00:00,11:30:00,4.62602,4.56608,-74.06744,-74.14772,01:30:00,1
Volver a casa,16:00:00,17:31:00,4.67783,4.58948,-74.14397,-74.17521,01:31:00,1
Trabajar,05:50:00,06:20:00,4.58109,4.58338,-74.09666,-74.13310,00:30:00,1
Volver a casa,17:00:00,17:25:00,4.58338,4.58109,-74.13310,-74.09666,00:25:00,1
Trabajar,07:00:00,07:30:00,4.58109,4.59826,-74.09666,-74.07931,00:30:00,1
Volver a casa,17:00:00,17:40:00,4.59826,4.58109,-74.07931,-74.09666,00:40:00,1
Trabajar,15:23:00,17:23:00,4.58944,4.67674,-74.17521,-74.05187,02:00:00,1
Volver a casa,19:45:00,20:45:00,4.67674,4.58944,-74.05187,-74.17521,01:00:00,1
Trabajar,06:28:00,08:28:00,4.58944,4.61410,-74.17521,-74.09166,02:00:00,1
Volver a casa,17:28:00,18:30:00,4.61410,4.58944,-74.09166,-74.17521,01:02:00,1
Trabajar,06:28:00,08:28:00,4.59216,4.61410,-74.17952,-74.09166,02:00:00,1
Volver a casa,17:28:00,18:30:00,4.61410,4.58944,-74.09166,-74.17521,01:02:00,1
Estudiar,12:42:00,13:41:00,4.58941,4.62825,-74.17521,-74.17115,00:59:00,1
Volver a casa,20:00:00,21:00:00,4.62825,4.58941,-74.17115,-74.17521,01:00:00,1
Trabajar,13:00:00,14:15:00,4.57925,4.65854,-74.09777,-74.09398,01:15:00,1
Volver a casa,20:00:00,21:00:00,4.65854,4.57925,-74.09398,-74.09777,01:00:00,1
Estudiar,13:15:00,14:00:00,4.57925,4.65708,-74.09777,-74.05886,00:45:00,1
Volver a casa,17:00:00,17:50:00,4.65708,4.57925,-74.05886,-74.09777,00:50:00,1
Buscar trabajo,14:00:00,15:45:00,4.75157,4.75319,-74.04650,-74.04467,01:45:00,1
Volver a casa,23:03:25,23:54:25,4.75319,4.56051,-74.04467,-74.13618,00:51:00,1
Recibir atencion en salud,07:00:00,07:30:00,4.58073,4.60711,-74.09645,-74.11657,00:30:00,1
Trabajar,08:15:00,08:45:00,4.58073,4.60695,-74.09645,-74.07384,00:30:00,1
Volver a casa,17:30:00,18:40:00,4.60695,4.58073,-74.07384,-74.09645,01:10:00,1
Volver a casa,11:30:00,13:04:00,4.58471,4.57780,-74.21365,-74.17222,01:34:00,1
Estudiar,05:00:00,06:15:00,4.57239,4.64970,-74.16499,-74.06450,01:15:00,1
Volver a casa,13:30:00,14:22:00,4.64970,4.57239,-74.06450,-74.16499,00:52:00,1
Estudiar,11:00:00,12:30:00,4.57239,4.57919,-74.16499,-74.09699,01:30:00,1
Volver a casa,18:00:00,20:00:00,4.57919,4.57239,-74.09699,-74.16499,02:00:00,1
Trabajar,12:00:00,13:30:00,4.67439,4.86485,-74.08166,-74.04745,01:30:00,1
Volver a casa,20:06:00,20:40:00,4.58427,4.67972,-74.11078,-74.07764,00:34:00,1
Recibir atencion en salud,06:30:00,07:35:00,4.58241,4.63602,-74.09315,-74.05935,01:05:00,1
Volver a casa,17:55:00,19:10:00,4.63602,4.58241,-74.05935,-74.09315,01:15:00,1
Trabajar,06:25:00,07:40:00,4.58241,4.68591,-74.09315,-74.05196,01:15:00,1
Volver a casa,14:17:55,15:54:55,4.68591,4.58241,-74.05196,-74.09315,01:37:00,1
Trabajar,05:00:00,05:55:00,4.58136,4.65647,-74.09643,-74.05772,00:55:00,1
Volver a casa,11:12:55,11:40:55,4.65647,4.58136,-74.05772,-74.09643,00:28:00,1
Trabajar,05:00:00,05:55:00,4.58047,4.65839,-74.09615,-74.05796,00:55:00,1
Volver a casa,11:12:55,11:41:55,4.65839,4.58013,-74.05796,-74.09639,00:29:00,1
Recibir atencion en salud,07:30:00,08:30:00,4.56355,4.62619,-74.14804,-74.09442,01:00:00,1
Volver a casa,10:00:00,11:30:00,4.62619,4.56360,-74.09442,-74.14805,01:30:00,1
Estudiar,06:30:00,08:00:00,4.56255,4.61823,-74.14315,-74.06186,01:30:00,1
Volver a casa,11:00:00,13:00:00,4.61823,4.56255,-74.06186,-74.14315,02:00:00,1
Recibir atencion en salud,09:08:00,11:09:00,4.63184,4.65148,-74.08135,-74.06447,02:01:00,1
Volver a casa,12:41:09,14:36:10,4.65148,4.63184,-74.06447,-74.08135,01:55:01,1
Estudiar,07:00:00,08:01:00,4.60043,4.60042,-74.11965,-74.07299,01:01:00,1
Volver a casa,09:21:02,09:37:02,4.60042,4.60043,-74.07299,-74.11965,00:16:00,1
Trabajar,06:00:00,07:10:00,4.59993,4.69006,-74.11995,-74.13096,01:10:00,1
Volver a casa,16:40:00,17:50:00,4.69006,4.59993,-74.13096,-74.11995,01:10:00,1
Recibir atencion en salud,09:32:00,11:35:00,4.59743,4.59630,-74.12124,-74.12464,02:03:00,1
Volver a casa,18:00:00,20:00:00,4.59630,4.59478,-74.12464,-74.12441,02:00:00,1
Trabajar,05:30:00,07:55:00,4.59478,4.59630,-74.12441,-74.12464,02:25:00,1
Volver a casa,15:32:55,16:12:20,4.59630,4.59478,-74.12464,-74.12441,00:39:25,1
Trabajar,07:30:00,09:00:00,4.59478,4.67735,-74.12441,-74.05990,01:30:00,1
Volver a casa,16:21:00,18:11:00,4.67735,4.59478,-74.05990,-74.12441,01:50:00,1
Trabajar,07:30:00,09:00:00,4.59477,4.49824,-74.12451,-74.11010,01:30:00,1
Volver a casa,16:21:00,18:11:00,4.49824,4.59477,-74.11010,-74.12451,01:50:00,1
Trabajar,07:20:00,07:55:00,4.62487,4.59978,-74.11605,-74.07563,00:35:00,1
Volver a casa,17:01:00,18:30:00,4.59978,4.62487,-74.07563,-74.11605,01:29:00,1
Estudiar,11:14:00,13:15:00,4.72777,4.60228,-74.03751,-74.06628,02:01:00,1
Volver a casa,16:17:00,17:17:00,4.60228,4.72777,-74.06628,-74.03751,01:00:00,1
Estudiar,05:14:00,07:15:00,4.64541,4.65479,-74.10299,-74.07170,02:01:00,1
Volver a casa,16:17:00,17:17:00,4.65479,4.72777,-74.07170,-74.03751,01:00:00,1
Estudiar,05:14:00,07:15:00,4.72527,4.65103,-74.03677,-74.07244,02:01:00,1
Volver a casa,16:17:00,17:17:00,4.65103,4.72777,-74.07244,-74.03751,01:00:00,1
Trabajar,06:19:00,08:20:00,4.72777,4.62261,-74.03751,-74.11038,02:01:00,1
Volver a casa,17:23:00,19:23:00,4.62261,4.72777,-74.11038,-74.03751,02:00:00,1
Estudiar,05:14:00,07:15:00,4.72777,4.64547,-74.03751,-74.10068,02:01:00,1
Volver a casa,16:17:00,17:17:00,4.64547,4.72777,-74.10068,-74.03751,01:00:00,1
Tramites,01:07:00,01:28:00,4.72776,4.67394,-74.03749,-74.06732,00:21:00,1
Trabajar,07:00:00,08:00:00,4.63211,4.60259,-74.13423,-74.07267,01:00:00,1
Volver a casa,20:30:00,21:30:00,4.60259,4.63211,-74.07267,-74.13423,01:00:00,1
Recibir atencion en salud,10:00:00,11:00:00,4.63169,4.58879,-74.13516,-74.09176,01:00:00,1
Volver a casa,12:00:00,13:30:00,4.58879,4.63169,-74.09176,-74.13516,01:30:00,1
Estudiar,06:00:00,07:00:00,4.63213,4.63272,-74.06550,-74.06531,01:00:00,1
Volver a casa,13:11:00,14:11:00,4.63272,4.67871,-74.06531,-74.07399,01:00:00,1
Tramites,08:22:00,09:52:00,4.60453,4.63058,-74.10451,-74.08145,01:30:00,1
Volver a casa,10:11:22,10:24:22,4.63058,4.58897,-74.08145,-74.07652,00:13:00,1
Recibir atencion en salud,10:00:00,10:41:00,4.76161,4.68412,-74.04234,-74.03130,00:41:00,1
Volver a casa,15:02:00,15:33:00,4.68412,4.76161,-74.03130,-74.04234,00:31:00,1
Tramites,08:30:00,09:30:00,4.76267,4.70140,-74.03764,-74.02586,01:00:00,1
Volver a casa,15:00:00,16:00:00,4.70140,4.76161,-74.02586,-74.04234,01:00:00,1
Otra cosa,14:00:00,15:00:00,4.59075,4.68971,-74.07132,-74.05410,01:00:00,1
Volver a casa,18:00:00,19:00:00,4.68971,4.59075,-74.05410,-74.07132,01:00:00,1
Estudiar,05:00:00,07:00:00,4.59036,4.78550,-74.07275,-74.04879,02:00:00,1
Volver a casa,17:00:00,20:00:00,4.78550,4.59036,-74.04879,-74.07275,03:00:00,1
Trabajar,06:00:00,08:00:00,4.63642,4.61531,-74.06272,-74.15701,02:00:00,1
Volver a casa,16:30:00,18:30:00,4.61531,4.63642,-74.15701,-74.06272,02:00:00,1
Trabajar,06:21:00,08:00:00,4.59644,4.70023,-74.11003,-74.07033,01:39:00,1
Volver a casa,18:00:00,20:00:00,4.70023,4.59644,-74.07033,-74.11003,02:00:00,1
Volver a casa,15:00:00,16:45:00,4.63884,4.57216,-74.06866,-74.09117,01:45:00,1
Trabajar,07:00:00,08:00:00,4.69462,4.67548,-74.04733,-74.14420,01:00:00,1
Volver a casa,19:02:00,20:02:00,4.67548,4.69636,-74.14420,-74.04909,01:00:00,1
Otra cosa,08:00:00,09:15:00,4.76161,4.70687,-74.04234,-74.05385,01:15:00,1
Volver a casa,11:50:00,12:45:00,4.67037,4.76161,-74.05586,-74.04234,00:55:00,1
Recibir atencion en salud,08:00:00,09:15:00,4.76161,4.70687,-74.04234,-74.05385,01:15:00,1
Volver a casa,11:50:00,12:45:00,4.67037,4.76161,-74.05586,-74.04234,00:55:00,1
Estudiar,07:46:00,08:46:00,4.72761,4.61478,-74.04677,-74.06416,01:00:00,1
Volver a casa,15:30:00,16:50:00,4.61478,4.72761,-74.06416,-74.04677,01:20:00,1
Trabajar,05:30:00,07:21:00,4.72761,4.58225,-74.04677,-74.08979,01:51:00,1
Volver a casa,15:31:00,17:13:00,4.58225,4.72761,-74.08979,-74.04677,01:42:00,1
Ir a ver a alguien,06:15:00,07:57:00,4.72402,4.67138,-74.04858,-74.05728,01:42:00,1
Volver a casa,14:48:00,15:07:00,4.67138,4.72761,-74.05728,-74.04677,00:19:00,1
Ir a ver a alguien,06:15:00,07:57:00,4.72761,4.67120,-74.04677,-74.05762,01:42:00,1
Volver a casa,14:48:00,15:07:00,4.67120,4.72761,-74.05762,-74.04677,00:19:00,1
Estudiar,06:14:00,07:30:00,4.72761,4.64842,-74.04677,-74.05327,01:16:00,1
Volver a casa,13:38:00,14:38:00,4.64842,4.72761,-74.05327,-74.04677,01:00:00,1
Asuntos de Trabajo,08:22:00,08:32:00,4.70802,4.70243,-74.05325,-74.02317,00:10:00,1
Volver a casa,13:25:00,13:59:00,4.70243,4.72761,-74.02317,-74.04677,00:34:00,1
Asuntos de Trabajo,07:58:00,08:59:00,4.72761,4.62143,-74.04677,-74.06699,01:01:00,1
Volver a casa,18:01:00,20:00:00,4.62143,4.72761,-74.06699,-74.04677,01:59:00,1
Tramites,10:00:00,10:40:00,4.71997,4.65708,-74.05371,-74.05886,00:40:00,1
Volver a casa,11:30:00,12:35:00,4.65708,4.71997,-74.05886,-74.05371,01:05:00,1
Estudiar,05:45:00,07:00:00,4.71997,4.63458,-74.05371,-74.07951,01:15:00,1
Volver a casa,15:31:00,16:30:00,4.63458,4.71997,-74.07951,-74.05371,00:59:00,1
Trabajar,08:00:00,09:00:00,4.71997,4.62429,-74.05371,-74.07627,01:00:00,1
Volver a casa,15:00:00,16:00:00,4.62429,4.71997,-74.07627,-74.05371,01:00:00,1
Trabajar,06:00:00,07:00:00,4.74680,4.62763,-74.05015,-74.08118,01:00:00,1
Volver a casa,19:00:00,20:30:00,4.62763,4.74680,-74.08118,-74.05015,01:30:00,1
Trabajar,09:00:00,09:30:00,4.74680,4.71473,-74.05015,-74.04765,00:30:00,1
Volver a casa,20:00:00,20:30:00,4.71473,4.74680,-74.04765,-74.05015,00:30:00,1
Trabajar,06:30:00,07:30:00,4.71997,4.61949,-74.05371,-74.06802,01:00:00,1
Volver a casa,13:00:00,14:30:00,4.61949,4.71997,-74.06802,-74.05371,01:30:00,1
Estudiar,06:00:00,07:00:00,4.71997,4.60345,-74.05371,-74.06798,01:00:00,1
Volver a casa,12:00:00,13:00:00,4.60345,4.71997,-74.06798,-74.05371,01:00:00,1
Trabajar,07:00:00,08:00:00,4.71997,4.64456,-74.05371,-74.07874,01:00:00,1
Volver a casa,17:00:00,18:30:00,4.64456,4.71997,-74.07874,-74.05371,01:30:00,1
Trabajar,06:30:00,07:50:00,4.71997,4.61172,-74.05371,-74.06970,01:20:00,1
Volver a casa,18:00:00,19:00:00,4.61172,4.71997,-74.06970,-74.05371,01:00:00,1
Compras,10:00:00,10:30:00,4.71997,4.74598,-74.05371,-74.04720,00:30:00,1
Asuntos de Trabajo,14:00:00,14:30:00,4.63326,4.58328,-74.06227,-74.09914,00:30:00,1
Volver a casa,16:40:00,17:22:00,4.58328,4.63242,-74.09914,-74.06209,00:42:00,1
Trabajar,05:01:00,06:53:00,4.58775,4.76267,-74.07288,-74.03764,01:52:00,1
Volver a casa,08:48:58,09:52:03,4.76267,4.58775,-74.03764,-74.07288,01:03:05,1
Otra cosa,07:30:00,08:15:00,4.59863,4.69984,-74.12567,-74.09749,00:45:00,1
Volver a casa,18:00:00,19:00:00,4.69984,4.59863,-74.09749,-74.12567,01:00:00,1
Trabajar,05:00:00,07:00:00,4.59863,4.67459,-74.12567,-74.04833,02:00:00,1
Volver a casa,13:26:00,15:16:00,4.67459,4.59863,-74.04833,-74.12567,01:50:00,1
Trabajar,07:00:00,08:00:00,4.59869,4.72653,-74.12553,-74.04200,01:00:00,1
Volver a casa,12:10:00,13:06:00,4.72653,4.59836,-74.04200,-74.12582,00:56:00,1
Otra cosa,12:10:00,13:06:00,4.59836,4.63828,-74.12582,-74.06538,00:56:00,1
Volver a casa,14:41:06,15:46:02,4.63828,4.59836,-74.06538,-74.12582,01:04:56,1
Recibir atencion en salud,08:30:00,10:00:00,4.59817,4.68736,-74.12563,-74.05862,01:30:00,1
Volver a casa,11:49:36,12:41:36,4.68736,4.59817,-74.05862,-74.12563,00:52:00,1
Otra cosa,07:30:00,08:15:00,4.59851,4.63234,-74.12538,-74.06640,00:45:00,1
Volver a casa,18:00:00,19:00:00,4.63234,4.59851,-74.06640,-74.12538,01:00:00,1
Estudiar,18:00:00,19:30:00,4.68785,4.74432,-74.07925,-74.04797,01:30:00,1
Volver a casa,20:00:00,21:15:00,4.74432,4.68785,-74.04797,-74.07925,01:15:00,1
Recibir atencion en salud,05:30:00,06:40:00,4.69535,4.63939,-74.11340,-74.09377,01:10:00,1
Volver a casa,12:30:00,13:45:00,4.63939,4.69535,-74.09377,-74.11340,01:15:00,1
Trabajar,05:00:00,06:15:00,4.69550,4.65643,-74.11477,-74.04813,01:15:00,1
Volver a casa,11:00:00,12:30:00,4.65643,4.69550,-74.04813,-74.11477,01:30:00,1
Trabajar,06:23:00,08:14:00,4.58821,4.66306,-74.07514,-74.06375,01:51:00,1
Volver a casa,14:07:12,14:34:12,4.66306,4.58821,-74.06375,-74.07514,00:27:00,1
Trabajar,12:00:00,13:06:00,4.59144,4.67480,-74.07235,-74.07099,01:06:00,1
Tramites,09:00:00,10:01:00,4.68203,4.61479,-74.06610,-74.07094,01:01:00,1
Volver a casa,11:00:00,11:45:00,4.61479,4.68203,-74.07094,-74.06610,00:45:00,1
Otra cosa,15:44:00,15:55:00,4.68907,4.65579,-74.07064,-74.06459,00:11:00,1
Volver a casa,18:29:00,18:41:00,4.65579,4.68907,-74.06459,-74.07064,00:12:00,1
Otra cosa,14:00:00,15:00:00,4.68907,4.70674,-74.07064,-74.10851,01:00:00,1
Volver a casa,18:00:00,19:00:00,4.70674,4.68907,-74.10851,-74.07064,01:00:00,1
Estudiar,06:20:00,07:50:00,4.76497,4.65055,-74.02520,-74.06160,01:30:00,1
Volver a casa,17:30:00,19:32:00,4.65055,4.76780,-74.06160,-74.02631,02:02:00,1
Trabajar,07:00:00,07:23:00,4.62442,4.62294,-74.07829,-74.07782,00:23:00,1
